slug,title,year,venue,group,category,role,paper_url,project_url,report_path,status,summary,delta_problem,delta_information,delta_objective,delta_compute,delta_evaluation,delta_knowledge,last_verified
crystallm,Crystal Structure Generation with Autoregressive Large Language Modeling,2023,Nature Communications 2024,C. LLM、序列表示与混合生成,LLM 生成,表示/系统先例,https://arxiv.org/abs/2307.04340,https://github.com/lantunes/CrystaLLM,crystal/papers/crystallm.md,已发表；首轮审计基于论文、官方代码与 Nature Communications 版本。,把 CIF 当作文本序列，用 GPT 类自回归模型按组成和可选空间群生成结构，并可结合能量预测器与 MCTS 改善候选。,1,1,1,1,1,0,2026-09-03
mat2seq,Invariant Tokenization of Crystalline Materials for Language Model Enabled Generation,2025,NeurIPS 2024,C. LLM、序列表示与混合生成,LLM 表示,表示/形式化,https://arxiv.org/abs/2503.00152,,crystal/papers/mat2seq.md,已发表；未在本轮核验到明确官方代码仓库。,通过 Niggli/primitive cell 等规范化步骤把等价的三维晶体映射为唯一、可重构、SE(3) 与周期不变的一维序列。,1,2,1,1,1,0,2026-09-03
crystal-text-llm,Fine-Tuned Language Models Generate Stable Inorganic Materials as Text,2024,ICLR 2024,C. LLM、序列表示与混合生成,LLM 生成,规模/能力实证,https://arxiv.org/abs/2402.04379,https://github.com/facebookresearch/crystal-text-llm,crystal/papers/crystal-text-llm.md,已发表；官方代码已核验。,系统比较不同规模预训练语言模型在文本化晶体生成上的能力，报告稳定性随模型规模提升，并支持 infilling 与文本条件。,1,1,1,2,1,0,2026-09-03
flowllm,FlowLLM: Flow Matching for Material Generation with Large Language Models as Base Distributions,2024,NeurIPS 2024,C. LLM、序列表示与混合生成,LLM+Flow,结构化组合,https://arxiv.org/abs/2410.23405,https://github.com/facebookresearch/flowmm,crystal/papers/flowllm.md,已发表；代码集成于 FlowMM 仓库。,先由 LLM 产生非平凡的亚稳晶体 base distribution，再由 Riemannian flow 连续修正坐标与晶格。,1,1,2,1,1,0,2026-09-03
crysllmgen,LLM Meets Diffusion: A Hybrid Framework for Crystal Material Generation,2025,NeurIPS 2025,C. LLM、序列表示与混合生成,LLM+Diffusion,故事整合/工程,https://arxiv.org/abs/2510.23040,https://github.com/kdmsit/crysllmgen,crystal/papers/crysllmgen.md,已发表；首轮审计重点检查 LLM 是否不可替代。,LLM 先生成元素、坐标和晶格，保留元素类型，再把连续变量送入预训练等变扩散模型的中间时间步修正。,0,1,1,1,1,0,2026-09-03
wyckoffdiff,WyckoffDiff -- A Generative Diffusion Model for Crystal Symmetry,2025,ICML 2025,B. 对称性、Wyckoff 与离散生成,对称离散生成,表示/离散机制,https://arxiv.org/abs/2502.06485,https://github.com/httk/wyckoffdiff,crystal/papers/wyckoffdiff.md,已发表；官方代码已核验。,在 protostructure/Wyckoff 表示上进行离散扩散，使对称性按构造成立，并提出 Fréchet Wrenformer Distance 衡量对称分布。,1,2,2,2,1,0,2026-09-03
wyckoff-transformer,Wyckoff Transformer: Generation of Symmetric Crystals,2025,ICML 2025,B. 对称性、Wyckoff 与离散生成,对称离散生成,表示/高效自回归,https://arxiv.org/abs/2503.02407,https://github.com/SymmetryAdvantage/WyckoffTransformer,crystal/papers/wyckoff-transformer.md,已发表；官方代码已核验。,以 Wyckoff 位置构造压缩离散序列，用无位置编码、置换不变的自回归 Transformer 按空间群条件快速生成。,0,2,1,2,1,0,2026-09-03
haco-maskgxt,Discovering Crystal Structure Prediction Algorithms with an AI Co-Scientist,2026,arXiv 2026,B. 对称性、Wyckoff 与离散生成,AI co-scientist/CSP,跨域机制迁移/系统,https://arxiv.org/abs/2606.22866,https://github.com/kiyoung98/maskgxt,crystal/papers/haco-maskgxt.md,2026 新预印本；另有 HACO 系统代码 https://github.com/kiyoung98/HACO。,通过 HACO 跨域检索将 CV 的 MaskGIT 迁移为 MaskGXT：离散化晶格、坐标、空间群与 Wyckoff token，并迭代置信度解码。,1,2,2,1,2,0,2026-09-03
dao,Siamese Foundation Models for Crystal Structure Prediction,2025,Nature Communications 2026,D. 物理数据、轨迹与能量引导,条件 CSP/物理数据,数据+双模型系统,https://arxiv.org/abs/2503.10471,https://github.com/ManlioWu/DAO,crystal/papers/dao.md,已发表；首轮审计基于 Nature Communications、arXiv v2 与官方代码。,DAO-G 生成结构，DAO-P 预测能量并用于不稳定数据弛豫和采样引导，通过大规模稳定/不稳定结构预训练提升 CSP。,1,2,2,2,1,0,2026-09-03
omat24,Open Materials 2024 (OMat24) Inorganic Materials Dataset and Models,2024,arXiv 2024; updated 2026,D. 物理数据、轨迹与能量引导,数据/MLIP,数据基础设施,https://arxiv.org/abs/2410.12771,https://github.com/FAIR-Chem/fairchem,crystal/papers/omat24.md,大型开放数据与模型发布；数据版本和许可应按官方页面持续更新。,发布超过 1.1 亿次 DFT 计算，重点覆盖结构与组成多样性，并训练 EquiformerV2 通用势模型。,1,2,1,2,2,0,2026-09-03
lemat-traj,LeMat-Traj: A Scalable and Unified Dataset of Materials Trajectories for Atomistic Modeling,2025,arXiv 2025,D. 物理数据、轨迹与能量引导,数据/轨迹,数据标准化,https://arxiv.org/abs/2508.20875,https://github.com/LeMaterial/lematerial-fetcher,crystal/papers/lemat-traj.md,开放数据/工具发布；跨泛函混用需谨慎。,统一 Materials Project、Alexandria、OQMD 等来源的 1.2 亿余轨迹构型，协调多种 DFT 泛函和元数据。,1,2,1,1,1,0,2026-09-03
mp-aloe,MP-ALOE: An r2SCAN dataset for universal machine learning interatomic potentials,2025,arXiv 2025,D. 物理数据、轨迹与能量引导,数据/主动学习,科学分层数据,https://arxiv.org/abs/2507.05559,,crystal/papers/mp-aloe.md,开放数据论文；本轮未核验独立代码仓库。,以主动学习生成近百万 r2SCAN 非平衡结构，覆盖 89 种元素，并强调极端形变、高温高压和远离平衡力的鲁棒性。,2,2,2,1,2,0,2026-09-03
matinvent,Accelerating Inverse Materials Design Using Generative Diffusion Models with Reinforcement Learning,2025,arXiv 2025,E. RL、后训练与多目标生成,RL 逆向设计,目标对齐/系统,https://arxiv.org/abs/2511.03112,,crystal/papers/matinvent.md,较新预印本；本轮未核验官方代码仓库。,MatInvent 用 RL 直接优化晶体扩散模型，在较少性质评估下处理单目标和相互冲突的多目标条件设计。,1,1,2,1,1,0,2026-09-03
chemeleon2,Guiding Generative Models to Uncover Diverse and Novel Crystals via Reinforcement Learning,2025,Nature Machine Intelligence 2026,E. RL、后训练与多目标生成,RL de novo,多目标对齐,https://arxiv.org/abs/2511.07158,https://github.com/hspark1212/chemeleon2,crystal/papers/chemeleon2.md,已发表；官方代码已核验。,在 latent diffusion 上使用 GRPO 与稳定、新颖、多样等可验证多目标奖励，缓解似然采样偏向已知高密度区域的问题。,1,1,2,1,2,0,2026-09-03
omatg-irl,Open Materials Generation with Inference-Time Reinforcement Learning,2026,ICML 2026,E. RL、后训练与多目标生成,RL/Flow,连续时间策略优化,https://arxiv.org/abs/2602.00424,https://github.com/FERMat-ML/OMatG,crystal/papers/omatg-irl.md,已发表/官方实现并入 OMatG；“首次”主张应按任务边界理解。,直接在 flow 的速度场上构造随机扰动与策略梯度，无需显式 score，并可学习时间依赖 velocity annealing。,1,1,2,1,1,0,2026-09-03
packflow,PackFlow: Generative Molecular Crystal Structure Prediction via Reinforcement Learning Alignment,2026,arXiv 2026,E. RL、后训练与多目标生成,分子晶体 CSP,物理对齐/系统,https://arxiv.org/abs/2602.20140,,crystal/papers/packflow.md,2026 新预印本；分子晶体与无机晶体边界需明确。,联合生成分子重原子坐标与晶格，并用 MLIP 能量和力进行 RL physics alignment，接入标准 relax-and-rank 流程。,1,1,2,1,1,0,2026-09-03
crystalgrpo,CrystalGRPO: Target-Aligned and Coverage-Preserving Reinforcement Learning for Flow-Based Crystal Structure Prediction,2026,arXiv 2026,E. RL、后训练与多目标生成,RL/条件 CSP,目标重定义/直接先例,https://arxiv.org/abs/2608.06582,,crystal/papers/crystalgrpo.md,2026-08 新预印本；与当前研究想法高度重叠，需优先完整复现和审计。,指出能量不识别参考多晶型、奖励集中损害 Top-N 覆盖，提出联合坐标—晶格策略与 quality/coverage 两种模式。,2,1,2,1,2,0,2026-09-03
establishing-baselines,Establishing Baselines for Generative Discovery of Inorganic Crystals,2025,arXiv preprint,F. Benchmark、稳定性与新颖性审计,evaluation,强基线 / 评价校准,https://arxiv.org/abs/2501.02144,,crystal/papers/establishing-baselines.md,已审计；预印本版本结论需随更新复核,把电荷平衡原型枚举、离子交换等传统方案与现代生成模型放到统一生成—筛选管线中比较，检验生成模型究竟超越了什么。,2,1,1,1,2,0,2026-09-03
structure-matches-glitter,All That Structure Matches Does Not Glitter: Evaluating Crystal Structure Generation,2025,NeurIPS 2025 Datasets and Benchmarks,F. Benchmark、稳定性与新颖性审计,evaluation,Benchmark 纠偏 / 多晶型评价,https://arxiv.org/abs/2509.12178,https://huggingface.co/collections/colabfit/datasets-all-that-structure-matches-does-not-glitter,crystal/papers/structure-matches-glitter.md,已审计；会议论文，配套数据持续维护,系统揭示结构匹配、数据重复与随机划分对晶体生成评价的误导，提出多晶型感知划分及 METRe、cRMSE 等补充指标。,2,2,1,0,2,0,2026-09-03
lemat-genbench,LeMat-GenBench: A Unified Benchmark for Generative Materials Models,2025,arXiv preprint,F. Benchmark、稳定性与新颖性审计,evaluation,统一生成 Benchmark,https://arxiv.org/abs/2512.04562,https://github.com/LeMaterial/lemat-genbench,crystal/papers/lemat-genbench.md,已审计；预印本与代码均可能更新,以统一实现比较多种材料生成模型的有效性、分布一致性、多样性、新颖性与稳定性，突出维度间的系统权衡。,1,2,1,1,2,0,2026-09-03
substitution-novelty,Are Crystal Generative Models Truly Discovering Novel Structures?,2026,arXiv preprint,F. Benchmark、稳定性与新颖性审计,evaluation,新颖性审计 / 替换派生,https://arxiv.org/abs/2606.23166,,crystal/papers/substitution-novelty.md,已审计；2026 新预印本，百分比随版本和口径复核,指出常用数据库去重会把训练结构的元素替换体计为新结构，并以 substitution-aware 分析重新审计代表性模型的结构新颖性。,2,2,1,0,2,1,2026-09-03
csun,"cSUN: Continuous Stability, Uniqueness, and Novelty Metrics for Crystal Generation",2025,arXiv preprint (v3 updated 2026),F. Benchmark、稳定性与新颖性审计,evaluation,连续评价 / 可优化 Reward,https://arxiv.org/abs/2510.12405,,crystal/papers/csun.md,已审计；版本持续更新,将离散阈值式 S.U.N. 扩展为连续可比较分数，减轻阈值跳变，并讨论其作为生成模型后训练信号的用途。,1,1,2,0,2,0,2026-09-03
phononbench,PhononBench: Benchmarking Crystal Generative Models for Dynamical Stability,2025,arXiv preprint,F. Benchmark、稳定性与新颖性审计,evaluation,动力学稳定 Benchmark,https://arxiv.org/abs/2512.21227,https://github.com/xqh19970407/PhononBench,crystal/papers/phononbench.md,已审计；数据规模和具体比例在版本间更新，引用数字前需锁定版本,以声子谱/虚频审计生成晶体的动力学稳定性，证明几何有效和热力学代理通过并不等于局部动力学稳定。,2,2,1,2,2,1,2026-09-03
phononscore,PhononScore: Efficient Multi-Fidelity Scoring of Dynamical Stability for Generated Crystals,2026,arXiv preprint,F. Benchmark、稳定性与新颖性审计,evaluation,多保真动力学评分,https://arxiv.org/abs/2607.08518,http://phononbench.cn/phononscore/,crystal/papers/phononscore.md,已审计；2026 新预印本与在线项目,提出更低成本的多保真声子/动力学稳定评分和重排方案，使大规模生成候选的二阶稳定性筛选更可行。,1,2,2,2,2,0,2026-09-03
flow-matching,Flow Matching for Generative Modeling,2022,ICLR 2023,G. 从 CV / 通用 AI 迁移的数学原语,cross-domain,连续生成原语,https://arxiv.org/abs/2210.02747,https://github.com/facebookresearch/flow_matching,crystal/papers/flow-matching.md,已审计；基础方法论文,以条件概率路径构造可模拟的向量场回归目标，在无需显式模拟训练轨迹的情况下学习连续归一化流。,2,1,2,2,1,0,2026-09-03
riemannian-flow-matching,Flow Matching on General Geometries,2023,ICLR 2024,G. 从 CV / 通用 AI 迁移的数学原语,cross-domain,流形生成原语,https://arxiv.org/abs/2302.03660,https://github.com/facebookresearch/riemannian-fm,crystal/papers/riemannian-flow-matching.md,已审计；基础方法论文,将 Flow Matching 扩展到一般黎曼流形，为球面、环面和乘积流形上的几何一致生成提供统一工具。,1,2,2,1,1,0,2026-09-03
stochastic-interpolants,Stochastic Interpolants: A Unifying Framework for Flows and Diffusions,2023,Foundational preprint / journal versions,G. 从 CV / 通用 AI 迁移的数学原语,cross-domain,随机桥与生成统一框架,https://arxiv.org/abs/2303.08797,,crystal/papers/stochastic-interpolants.md,已审计；基础理论持续演化,通过可设计的随机插值连接任意分布，统一确定性 flow 与随机 diffusion，并给出 drift/score 等可学习量。,2,1,2,1,1,0,2026-09-03
gflownet-foundations,GFlowNet Foundations,2023,Journal of Machine Learning Research,G. 从 CV / 通用 AI 迁移的数学原语,cross-domain,多模态奖励比例采样,https://jmlr.org/papers/v24/22-0364.html,,crystal/papers/gflownet-foundations.md,已审计；基础方法论文,建立生成流网络的理论基础，使组合对象按未归一化奖励比例采样，而不是只寻找单一最优对象。,2,1,2,1,1,0,2026-09-03
diffusion-posterior-sampling,Diffusion Posterior Sampling for General Noisy Inverse Problems,2022,ICLR 2023,G. 从 CV / 通用 AI 迁移的数学原语,cross-domain,生成先验 + 测量似然,https://arxiv.org/abs/2209.14687,https://github.com/DPS2022/diffusion-posterior-sampling,crystal/papers/diffusion-posterior-sampling.md,已审计；基础逆问题方法,将预训练扩散模型作为先验，通过近似似然梯度在采样时解决有噪声、非线性逆问题。,2,1,2,1,2,0,2026-09-03
maskgit,MaskGIT: Masked Generative Image Transformer,2022,CVPR 2022,G. 从 CV / 通用 AI 迁移的数学原语,cross-domain,并行迭代离散生成,https://arxiv.org/abs/2202.04200,https://github.com/google-research/maskgit,crystal/papers/maskgit.md,已审计；基础 CV 方法,通过双向掩码预测与置信度驱动的迭代重掩码，实现比自回归更并行的离散 token 生成。,2,1,2,2,1,0,2026-09-03
ddpo,Training Diffusion Models with Reinforcement Learning,2023,ICLR 2024,G. 从 CV / 通用 AI 迁移的数学原语,cross-domain,扩散策略优化,https://arxiv.org/abs/2305.13301,https://github.com/jannerm/ddpo,crystal/papers/ddpo.md,已审计；基础后训练方法,把扩散去噪过程视作多步决策过程，直接用下游奖励对生成策略进行策略梯度优化。,2,1,2,1,1,0,2026-09-03
stepwise-flow-grpo,Stepwise Credit Assignment for GRPO on Flow-Matching Models,2026,CVPR 2026,G. 从 CV / 通用 AI 迁移的数学原语,cross-domain,时间步信用分配,https://arxiv.org/abs/2603.28718,,crystal/papers/stepwise-flow-grpo.md,已审计；2026 新会议论文,根据中间状态带来的 reward 增量为 Flow/扩散不同时间步分配差异化信用，缓解终点稀疏奖励平均摊给所有步骤的问题。,1,1,2,1,1,0,2026-09-03
b2-diffurl,Towards Better Alignment: Training Diffusion Models with Reinforcement Learning Against Sparse Rewards,2025,CVPR 2025,G. 从 CV / 通用 AI 迁移的数学原语,cross-domain,稀疏奖励 / 分支探索,https://arxiv.org/abs/2503.11240,,crystal/papers/b2-diffurl.md,已审计；会议论文,通过反向渐进训练与分支采样改善扩散模型面对稀疏终点奖励时的探索和信用分配。,1,1,2,1,1,0,2026-09-03
